Frame;X-Coord;Y-Coord
12501;550;267
12502;550;268
12503;548;268
12504;547;268
12505;545;269
12506;542;270
12507;539;270
12508;536;271
12509;531;273
12510;527;272
12511;523;273
12512;518;274
12513;513;275
12514;507;276
12515;502;276
12516;495;277
12517;489;278
12518;481;279
12519;474;280
12520;466;281
12521;458;283
12522;450;283
12523;441;283
12524;433;285
12525;424;285
12526;415;286
12527;405;287
12528;396;287
12529;386;288
12530;376;288
12531;366;288
12532;356;289
12533;346;289
12534;335;289
12535;325;290
12536;315;290
12537;305;290
12538;295;289
12539;284;288
12540;274;287
12541;263;287
12542;253;287
12543;243;286
12544;233;286
12545;223;284
12546;213;284
12547;203;283
12548;195;282
12549;185;281
12550;176;281
12551;168;279
12552;159;279
12553;151;277
12554;143;276
12555;135;275
12556;128;274
12557;121;273
12558;114;272
12559;108;271
12560;101;270
12561;96;269
12562;90;268
12563;85;268
12564;81;267
12565;77;266
12566;73;265
12567;70;265
12568;67;264
12569;64;264
12570;62;264
12571;60;263
12572;58;263
12573;58;263
12574;57;263
12575;57;263
12576;57;263
12577;58;263
12578;59;264
12579;61;264
12580;63;265
12581;65;265
12582;68;266
12583;71;267
12584;75;267
12585;79;268
12586;83;269
12587;88;271
12588;94;271
12589;99;273
12590;105;274
12591;111;275
12592;118;276
12593;125;277
12594;132;278
12595;139;279
12596;147;280
12597;155;282
12598;164;283
12599;173;284
12600;181;286
12601;189;287
12602;199;288
12603;209;289
12604;218;290
12605;228;290
12606;238;291
12607;248;292
12608;258;292
12609;269;292
12610;278;294
12611;289;293
12612;298;294
12613;309;294
12614;319;294
12615;330;294
12616;340;293
12617;350;293
12618;360;293
12619;371;292
12620;381;292
12621;391;291
12622;400;291
12623;410;289
12624;418;289
12625;428;288
12626;437;287
12627;445;286
12628;454;285
12629;462;284
12630;469;283
12631;477;282
12632;485;281
12633;491;280
12634;497;279
12635;504;278
12636;510;277
12637;515;276
12638;520;275
12639;525;274
12640;529;273
12641;533;272
12642;537;271
12643;540;271
12644;542;270
12645;545;269
12646;547;269
12647;548;269
12648;549;268
12649;550;268
12650;550;268
12651;550;268
12652;549;268
12653;548;268
12654;546;268
12655;544;269
12656;542;270
12657;539;269
12658;536;270
12659;532;271
12660;528;272
12661;524;272
12662;519;273
12663;513;274
12664;508;275
12665;502;276
12666;496;276
12667;489;277
12668;482;278
12669;474;279
12670;467;280
12671;459;281
12672;451;282
12673;442;283
12674;434;284
12675;425;284
12676;417;284
12677;406;286
12678;397;286
12679;388;286
12680;378;287
12681;368;287
12682;358;288
12683;348;288
12684;337;288
12685;328;289
12686;318;288
12687;307;289
12688;297;288
12689;286;288
12690;275;288
12691;266;287
12692;255;287
12693;246;286
12694;236;285
12695;225;285
12696;215;284
12697;206;284
12698;196;283
12699;188;281
12700;179;281
12701;170;280
12702;161;279
12703;153;278
12704;145;276
12705;137;275
12706;130;274
12707;123;273
12708;116;272
12709;110;271
12710;104;270
12711;99;269
12712;93;269
12713;87;268
12714;83;267
12715;79;266
12716;75;266
12717;72;265
12718;69;265
12719;66;264
12720;63;264
12721;62;264
12722;60;264
12723;59;264
12724;59;263
12725;58;264
12726;59;263
12727;59;264
12728;60;265
12729;62;265
12730;63;265
12731;67;266
12732;69;266
12733;72;267
12734;76;268
12735;80;269
12736;85;270
12737;89;271
12738;94;272
12739;98;273
12740;104;274
12741;110;275
12742;117;276
12743;124;277
12744;131;278
12745;138;279
12746;146;281
12747;154;282
12748;162;283
12749;171;284
12750;180;285
12751;189;287
12752;198;288
12753;207;289
12754;216;290
12755;226;290
12756;236;291
12757;246;291
12758;256;292
12759;267;292
12760;276;293
12761;287;293
12762;297;293
12763;308;293
12764;318;294
12765;329;294
12766;339;293
12767;349;293
12768;358;293
12769;369;292
12770;378;292
12771;389;291
12772;399;290
12773;407;290
12774;417;289
12775;426;288
12776;435;287
12777;443;286
12778;451;286
12779;459;285
12780;468;283
12781;475;282
12782;482;281
12783;489;280
12784;495;279
12785;501;278
12786;507;277
12787;513;276
12788;518;275
12789;523;274
12790;527;273
12791;532;272
12792;535;271
12793;538;271
12794;542;270
12795;544;270
12796;546;269
12797;547;269
12798;548;268
12799;548;269
12800;548;268
12801;548;268
12802;548;268
12803;547;267
12804;545;268
12805;543;269
12806;541;268
12807;539;269
12808;535;270
12809;531;271
12810;527;270
12811;523;271
12812;519;272
12813;513;272
12814;508;274
12815;503;274
12816;496;275
12817;489;276
12818;483;277
12819;475;278
12820;468;278
12821;460;280
12822;452;280
12823;443;282
12824;435;282
12825;426;283
12826;417;284
12827;408;285
12828;399;285
12829;389;286
12830;379;286
12831;370;287
12832;359;287
12833;350;287
12834;340;287
12835;330;287
12836;319;287
12837;309;288
12838;298;288
12839;287;288
12840;278;287
12841;268;287
12842;258;286
12843;247;286
12844;237;285
12845;227;285
12846;218;285
12847;208;283
12848;198;283
12849;190;282
12850;180;281
12851;173;280
12852;164;279
12853;156;278
12854;148;277
12855;140;276
12856;133;275
12857;126;274
12858;119;273
12859;112;272
12860;106;271
12861;101;270
12862;95;269
12863;90;269
12864;85;268
12865;81;267
12866;77;267
12867;73;266
12868;70;265
12869;68;265
12870;65;265
12871;63;264
12872;62;264
12873;61;264
12874;61;264
12875;60;264
12876;60;264
12877;61;264
12878;61;265
12879;63;265
12880;65;266
12881;67;266
12882;69;267
12883;72;267
12884;76;268
12885;80;269
12886;84;270
12887;89;271
12888;93;272
12889;99;273
12890;105;274
12891;111;275
12892;118;276
12893;124;277
12894;131;279
12895;138;280
12896;146;281
12897;154;282
12898;162;283
12899;170;284
12900;179;285
12901;188;286
12902;197;287
12903;206;288
12904;216;289
12905;225;290
12906;235;291
12907;244;292
12908;255;292
12909;265;293
12910;274;293
12911;285;294
12912;295;294
12913;306;294
12914;316;294
12915;326;294
12916;336;294
12917;346;294
12918;356;293
12919;368;292
12920;376;292
12921;386;292
12922;395;291
12923;405;290
12924;414;290
12925;423;289
12926;433;287
12927;441;287
12928;449;286
12929;457;285
12930;465;284
12931;473;283
12932;480;282
12933;487;281
12934;493;280
12935;500;279
12936;506;277
12937;511;276
12938;517;275
12939;522;274
12940;525;273
12941;530;272
12942;533;271
12943;537;271
12944;540;270
12945;542;270
12946;544;269
12947;546;268
12948;547;268
12949;547;268
12950;547;267
12951;547;267
12952;547;267
12953;546;268
12954;545;267
12955;543;268
12956;540;268
12957;538;268
12958;535;269
12959;531;269
12960;527;271
12961;522;272
12962;518;271
12963;513;273
12964;508;273
12965;502;274
12966;495;275
12967;489;276
12968;483;277
12969;475;278
12970;468;278
12971;460;280
12972;453;280
12973;444;282
12974;436;282
12975;427;284
12976;418;284
12977;409;285
12978;399;286
12979;390;286
12980;380;287
12981;371;287
12982;361;287
12983;352;287
12984;342;287
12985;331;287
12986;321;287
12987;311;287
12988;301;287
12989;290;287
12990;280;287
12991;270;287
12992;260;286
12993;249;286
12994;239;285
12995;230;285
12996;220;284
12997;210;284
12998;201;283
12999;193;282
13000;184;281
13001;175;280
13002;166;279
13003;158;278
13004;150;277
13005;142;276
13006;135;275
13007;128;274
13008;121;273
13009;114;273
13010;108;272
13011;102;271
13012;97;270
13013;91;269
13014;87;269
13015;82;268
13016;78;267
13017;75;267
13018;72;266
13019;69;266
13020;66;266
13021;64;265
13022;63;265
13023;62;265
13024;60;264
13025;60;265
13026;61;265
13027;61;265
13028;62;265
13029;63;266
13030;65;266
13031;67;267
13032;70;268
13033;73;268
13034;76;269
13035;79;270
13036;84;271
13037;88;272
13038;94;273
13039;99;274
13040;105;275
13041;110;276
13042;117;277
13043;123;278
13044;130;279
13045;137;280
13046;145;281
13047;153;283
13048;161;284
13049;169;285
13050;177;286
13051;186;287
13052;196;288
13053;204;289
13054;214;290
13055;223;291
13056;232;292
13057;243;292
13058;253;293
13059;263;294
13060;273;294
13061;283;294
13062;293;294
13063;304;294
13064;314;294
13065;323;295
13066;333;294
13067;344;294
13068;354;294
13069;364;293
13070;374;293
13071;383;293
13072;393;292
13073;403;291
13074;412;290
13075;421;289
13076;430;288
13077;439;287
13078;447;287
13079;455;286
13080;463;285
13081;470;283
13082;478;282
13083;485;281
13084;491;280
13085;497;279
13086;503;278
13087;508;277
13088;514;276
13089;518;276
13090;523;274
13091;526;274
13092;530;273
13093;534;272
13094;537;271
13095;539;270
13096;541;270
13097;543;270
13098;544;269
13099;544;269
13100;545;269
13101;545;269
13102;544;269
13103;543;269
13104;541;270
13105;540;270
13106;538;270
13107;535;270
13108;532;270
13109;529;271
13110;525;272
13111;521;273
13112;516;273
13113;512;274
13114;506;275
13115;500;276
13116;494;277
13117;488;278
13118;481;279
13119;474;280
13120;467;281
13121;459;282
13122;451;283
13123;443;283
13124;435;284
13125;426;285
13126;417;286
13127;409;286
13128;399;287
13129;391;287
13130;382;288
13131;372;288
13132;362;288
13133;352;289
13134;341;290
13135;332;289
13136;321;290
13137;311;290
13138;301;290
13139;290;290
13140;280;289
13141;270;289
13142;260;289
13143;251;289
13144;241;288
13145;230;288
13146;221;287
13147;211;286
13148;202;285
13149;193;285
13150;184;284
13151;175;283
13152;166;282
13153;158;281
13154;150;280
13155;142;279
13156;135;278
13157;128;277
13158;121;276
13159;114;275
13160;109;275
13161;103;274
13162;97;273
13163;93;272
13164;88;271
13165;84;271
13166;79;270
13167;76;269
13168;72;269
13169;69;268
13170;67;267
13171;65;267
13172;63;267
13173;62;267
13174;61;267
13175;60;267
13176;60;267
13177;60;267
13178;62;268
13179;63;269
13180;65;269
13181;67;269
13182;70;271
13183;72;270
13184;76;272
13185;80;273
13186;84;274
13187;88;274
13188;93;276
13189;97;277
13190;103;278
13191;108;279
13192;115;280
13193;121;281
13194;128;282
13195;135;283
13196;143;284
13197;151;285
13198;159;287
13199;167;287
13200;175;289
13201;184;290
13202;193;291
13203;203;292
13204;212;292
13205;222;293
13206;231;294
13207;240;295
13208;251;295
13209;261;296
13210;271;296
13211;280;297
13212;292;296
13213;301;297
13214;312;296
13215;321;297
13216;332;297
13217;342;296
13218;352;296
13219;362;296
13220;372;295
13221;382;295
13222;391;294
13223;401;293
13224;410;292
13225;419;292
13226;428;290
13227;437;290
